Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),SAMSUNG,875.88,63.0,Windows,INTEL,12.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,13.3,1080.0,1920.0,True,1.0
Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),SAMSUNG,851.88,53.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),ASUS,815.88,55.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),HP,839.88,64.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR4,1000,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),LENOVO,911.88,57.0,Windows,INTEL,12.0,14.0,18.0,16.0,DDR5,1000,SSD,INTEL,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),HP,1163.88,69.0,Windows,AMD,8.0,8.0,16.0,16.0,DDR5,512,SSD,AMD,Integrated,0.0,14.0,1920.0,1200.0,True,1.0
Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),ASUS,3959.88,68.0,Windows,INTEL,14.0,24.0,32.0,32.0,DDR5,2000,SSD,NVIDIA,Dedicated,16.0,16.0,2560.0,1600.0,False,1.0
Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),LENOVO,599.88,65.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),HP,1763.88,72.0,Windows,INTEL,13.0,10.0,12.0,32.0,DDR4X,1000,SSD,INTEL,Integrated,0.0,13.5,3000.0,2000.0,True,1.0
HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,2099.99,77.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,14.0,2880.0,1800.0,False,1.0
